Field,Type,Value,information
TYPE_OF_CDR,Integer,7,Static
ACTIVITY_DIRECTION,Integer,2,Static
ORIGINATE_OFFER_DATE,String,11- 2-18,Static
ORIGINATE_OFFER_TIME,String,See more values,Dinamic
ANSWERED_DATE,Float,nan,Static Null
ANSWERED_TIME,Float,nan,Static Null
DISCONNECT_DATE,Float,nan,Static Null
DISCONNECT_TIME,Float,nan,Static Null
REFERENCE,Float,nan,Static Null
ASSOC_CDR_REFERENCE,Float,nan,Static Null
ORIGINATING_NUMBER,Float,nan,Static Null
CALLING_NUMBER_PRESENTATION,Float,nan,Static Null
DESTINATION_NUMBER,Float,nan,Static Null
INCOMING_TRUNK_GROUP,Float,nan,Static Null
OUTGOING_TRUNK_GROUP,Float,nan,Static Null
PRIMARY_OFFER_ID,Integer,See more values,Dinamic
CLEAR_CAUSE,Integer,See more values,Dinamic
ACTIVITY_BILLING_CODE,Float,nan,Static Null
CDR_CALL_TYPE,Integer,52,Static
SUBSCRIBER_ID,Integer,See more values,Dinamic
SUBSCRIBER_NO,Integer,See more values,Dinamic
SUBSCRIBER_NO_RESETS,Integer,0,Static
ACCOUNT_NO,Integer,See more values,Dinamic
PARENT_ACCOUNT_NO,Integer,See more values,Dinamic
TARGET_BALANCE_ACCOUNT_NO,Integer,0,Static
USER_SUBSCRIBER_NO,Integer,0,Static
USER_SUBSCRIBER_NO_RESETS,Integer,0,Static
TIME_ZONE,String,America/Jamaica,Static
TOTAL_USAGE,Float,See more values,Dinamic
USAGE_UNIT_TYPE,Integer,3,Static
TOTAL_CURRENCY_CHARGE,Float,See more values,Dinamic
CURRENCY_UNIT_TYPE,Integer,See more values,Dinamic
TOTAL_NON_CURRENCY_CHARGE,Float,0.0,Static
CALLING_PARTY_CATEGORY,Float,nan,Static Null
ORIGINAL_CALLED_NUMBER,Float,nan,Static Null
REDIRECTING_NUMBER,Float,nan,Static Null
REDIRECTING_INDICATOR,Float,nan,Static Null
ORIGINAL_REDIRECTION_REASON,Float,nan,Static Null
REDIRECTION_COUNTER,Float,nan,Static Null
REDIRECTING_REASON,Float,nan,Static Null
MSRN,Float,nan,Static Null
CELL_ID,Float,nan,Static Null
PRE_CALL_ANNOUNCEMENT_ID,Float,nan,Static Null
TIME1_DURATION,Float,See more values,Dinamic
TIME2_DURATION,Float,0.0,Static
TIME3_DURATION,Float,0.0,Static
RECHARGE_EXP_OFFSET,Float,nan,Static Null
RECHARGE_BATCH_NUM,Float,nan,Static Null
RECHARGE_SERIAL_NUM,Float,nan,Static Null
RECHARGE_FACE_VALUE,Float,nan,Static Null
RECHARGE_RESULT_CODE,Float,nan,Static Null
LOCATION_INDICATOR_PARTY_A,String,See more values,Dinamic
LOCATION_INDICATOR_PARTY_B,String,10200800201@@@@@,Static
TIME1_FIRST_TARIFF_ID,Integer,See more values,Dinamic
TIME1_FIRST_TARIFF_CHARGE,Float,See more values,Dinamic
TIME1_SECOND_TARIFF_ID,Integer,0,Static
TIME1_SECOND_TARIFF_CHARGE,Float,0.0,Static
TIME1_THIRD_TARIFF_ID,Integer,0,Static
TIME1_THIRD_TARIFF_CHARGE,Float,0.0,Static
TIME1_FOURTH_TARIFF_ID,Integer,0,Static
TIME1_FOURTH_TARIFF_CHARGE,Float,0.0,Static
TIME1_FIFTH_TARIFF_ID,Integer,0,Static
TIME1_FIFTH_TARIFF_CHARGE,Float,0.0,Static
TIME2_FIRST_TARIFF_ID,Integer,0,Static
TIME2_FIRST_TARIFF_CHARGE,Float,0.0,Static
TIME2_SECOND_TARIFF_ID,Integer,0,Static
TIME2_SECOND_TARIFF_CHARGE,Float,0.0,Static
TIME2_THIRD_TARIFF_ID,Integer,0,Static
TIME2_THIRD_TARIFF_CHARGE,Float,0.0,Static
TIME2_FOURTH_TARIFF_ID,Integer,0,Static
TIME2_FOURTH_TARIFF_CHARGE,Float,0.0,Static
TIME2_FIFTH_TARIFF_ID,Integer,0,Static
TIME2_FIFTH_TARIFF_CHARGE,Float,0.0,Static
TIME3_FIRST_TARIFF_ID,Integer,0,Static
TIME3_FIRST_TARIFF_CHARGE,Float,0.0,Static
TIME3_SECOND_TARIFF_ID,Integer,0,Static
TIME3_SECOND_TARIFF_CHARGE,Float,0.0,Static
TIME3_THIRD_TARIFF_ID,Integer,0,Static
TIME3_THIRD_TARIFF_CHARGE,Float,0.0,Static
TIME3_FOURTH_TARIFF_ID,Integer,0,Static
TIME3_FOURTH_TARIFF_CHARGE,Float,0.0,Static
TIME3_FIFTH_TARIFF_ID,Integer,0,Static
TIME3_FIFTH_TARIFF_CHARGE,Float,0.0,Static
CUG_CODE,Float,nan,Static Null
SHORT_DIAL_NUMBER,Float,nan,Static Null
APPLICATION_ID,Integer,330,Static
APPLICATION_INITIAL_SUBTYPE,Integer,See more values,Dinamic
AUT_INITIAL,Integer,See more values,Dinamic
BILLING_ID,Float,nan,Static Null
HOME_ZONE,Integer,See more values,Dinamic
VERSION_NUMBER,Float,nan,Static Null
MSC_ID,Float,nan,Static Null
CELL_ID_OR_LAI,Float,nan,Static Null
SLU_ID,Integer,2,Static
PRE_POST_INDICATOR,Float,nan,Static Null
TIM1_TAR1_CHG_TYPE,Float,nan,Static
TIM1_TAR2_CHG_TYPE,Float,nan,Static Null
TIM1_TAR3_CHG_TYPE,Float,nan,Static Null
TIM1_TAR4_CHG_TYPE,Float,nan,Static Null
TIM1_TAR5_CHG_TYPE,Float,nan,Static Null
TIM2_TAR1_CHG_TYPE,Float,nan,Static Null
TIM2_TAR2_CHG_TYPE,Float,nan,Static Null
TIM2_TAR3_CHG_TYPE,Float,nan,Static Null
TIM2_TAR4_CHG_TYPE,Float,nan,Static Null
TIM2_TAR5_CHG_TYPE,Float,nan,Static Null
TIM3_TAR1_CHG_TYPE,Float,nan,Static Null
TIM3_TAR2_CHG_TYPE,Float,nan,Static Null
TIM3_TAR3_CHG_TYPE,Float,nan,Static Null
TIM3_TAR4_CHG_TYPE,Float,nan,Static Null
TIM3_TAR5_CHG_TYPE,Float,nan,Static Null
HLR_ID,Float,nan,Static Null
OTHER_SYSTEM_ID,Float,nan,Static Null
POSTPAID_ACCOUNT_NUMBER,Float,nan,Static Null
ACCOUNT_TYPE,Float,nan,Static Null
ORP_DATE,Float,nan,Static Null
ORP_TIME,Float,nan,Static Null
TOTAL_CURRENCY_CHARGE_SERVER,Float,nan,Static Null
TOTAL_CURRENCY_CHARGE_TAX,Float,0.0,Static
ORIGINATE_OFFER_DATETIME,Float,0.0,Static
